Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
"Neuberger Berman Hi Yld Bd USD A Acc
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B12VW672,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/High%20Yield%20Bond%20Fund,Yes,USD,10/10/19,-0.42,1.15,10.16,6.23,3.81,3.56,4.15,1/11/10,IE00B12VW672,NBIHYUA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , USD Dis  (Mth) , USD Dis Wk , GBP Acc  (H) , GBP Dis  (Mth) (H) , GBP Dis  (Qter) (H) , EUR Acc  (H) , EUR Dis  (Mth) (H) , EUR Dis  (Qter) (H) , CHF Acc  (H) , SEK Acc  (H) , AUD Acc  (H) , AUD Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , HKD Acc  (H) , HKD Dis Wk (H) , CAD Dis  (Mth) (H) , CNH Dis  (Mth) (H) , CNH Dis  (Mth) (H) , CNH Dis Wk (H)",No,Yes,5,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Bank Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Barings European Loan Fund EUR
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Barings%20European%20Loan%20Fund,No,,,,,,,,,,,,BCELEEA ID EQUITY,"AUD Acc  (H), AUD Dis Qter (H), CAD Acc  (H), CAD Dis Qter (H), CHF Acc  (H), CHF Dis Qter (H), EUR Acc  , EUR Dis Qter , GBP Acc  (H), GBP Dis Qter (H), JPY Acc  (H), JPY Dis Qter (H), SGD Acc  (H), SGD Dis Qter (H), USD  Acc  (H), USD  Dis Qter (H)",No,Yes,5,55%,Yes,Restricted,SFC Unauthorized,Yes,No,No,Nil,Income Generation,N/A,> 5 years,Daily ,Daily with 30 Calendar days notice,No,Yes,"Refer to intranet for indemnity form.
BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
"Invesco US Senior Loan H Acc USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0258954014,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20US%20Senior%20Loan,No,USD,10/9/19,-0.67,-0.27,5.25,1.41,3.59,3.25,2.69,7/28/2006,LU0258954014,ZODMUBA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , CHF Acc  (H) , EUR Acc  (H) , EUR Dis  (Mth) (H) , GBP Acc  (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,Refer to intranet for indemnity form., 
"Neuberger Berman Glo Snr Fltng Rt Inc USD U Acc
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B96Y7K71,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/Global%20Senior%20Floating%20Rate%20Income,No,USD,10/10/19,-0.51,-0.17,5.12,1.65,3.05,2.7,2.5,3/28/2013,IE00B96Y7K71,NBGUSUA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR - A Acc  (H) , EUR - A Dis  (Qter) (H) , EUR - A Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , CNH - A Dis  (Qter) (H) , CNH - A Dis  (Mth) (H) , AUD Acc  (H) , AUD - A Dis  (Qter) (H) , AUD Dis  (Mth) (H) , GBP - A Acc  (H) , GBP - A Dis  (Qter) (H) , CAD Dis  (Qter) (H)",No,Yes,5,55%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,Refer to intranet for indemnity form., 
Fixed Income - European Investment Grade Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morgan Stanley Euro Strategic Bond A EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0073234253,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Euro%20Strategic%20Bond%20Fund,No,EUR,10/10/19,0.08,2.21,9.71,10.7,3.32,3.25,3.26,2/1/97,LU0073234253,MOREUBI LX EQUITY,"EUR Acc , EUR Dis  (Qter) ",Yes,No,4,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,4.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Robeco Euro Government Bonds DH EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0213453268,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/Euro%20Government%20Bonds%20Fund,No,EUR,10/9/19,0.54,3.4,9.65,12.04,2.23,2.91,3.97,4/1/05,LU0213453268,ROEGVBD LX EQUITY,"EUR Acc  (H) , EUR Dis (Ann)(H)",No,No,2,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - European High Yield Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"AXA IM FIIS Europe Short Duration High Yield EUR
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0658026603,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/AXA/AXA%20IM%20FIIS%20Europe%20Short%20Duration%20High%20Yield,No,EUR,10/10/19,-0.3,0.12,3.95,1.09,0.86,1.91,2.01,8/5/11,LU0658026603,AXEHFEI LX EQUITY,"EUR Acc, EUR Dis (SemiAnn), USD Acc (H), CHF Acc (H), CHF (Dis) (H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"Fidelity Funds - European Hi Yld A-EUR
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0251130802,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20European%20High%20Yield%20Fund,No,EUR,10/10/19,-0.19,0.91,9.84,6.35,3.52,3.61,3.74,7/3/06,LU0251130802,FIDEHYA LX EQUITY,"EUR Dis (Ann) , EUR Dis  (Mth) , EUR Dis  (Mth) , EUR Dis  (Mth) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,Yes,5,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Global EMD Local Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Templeton Global Bond A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0252652382,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20Bond%20Fund,Yes,USD,10/10/19,-0.1,-4.84,-0.1,0.82,2.91,0.09,6.73,4/28/2006,LU0252652382,FTGBFAC LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) , SGD Dis  (Mth) , EUR Dis  (Mth) , EUR Dis  (Mth) (H) , EUR Dis (Ann) , EUR Dis (Ann)(H) , EUR Acc , EUR Acc  (H) , GBP Dis  (Mth) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , HKD Acc  (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H) , CHF Acc  (H) , CNH Dis  (Mth) (H)",Yes,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Templeton Global Total Return A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0170475312,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20Total%20Return%20Fund,No,USD,10/10/19,-0.51,-6.74,-2.09,-0.91,2.06,-0.2,8.07,8/29/2003,LU0170475312,TGTRFAA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , SGD Dis  (Mth) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , EUR Dis  (Mth) , EUR Dis  (Mth) (H) , EUR Acc , EUR Acc  (H) , EUR Dis (Ann) , EUR Dis (Ann)(H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) , GBP Dis (Ann) , GBP Dis  (Mth) (H) , GBP Dis  (Mth) (H) , CHF Acc  (H) , HKD Acc , CNH Dis  (Mth) (H) , CNH Dis  (Mth) (H)",Yes,No,4,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
