Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
PIMCO GIS Income E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B7KFL990,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Income%20Fund,No,USD,08-Nov-2019,14.47 ,0.35 ,0.63 ,6.63 ,7.42 ,4.47 ,4.13 ,2.05 ,11/30/2012,IE00B7KFL990,PIMINEA ID EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , CHF Dis  (Mth) (H) , HKD Dis  (Mth) , CNH Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,No,3,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Vontobel TwentyFour Strategic Income Fund GBP,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1695534591,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/TwentyFour%20Strategic%20Income%20Fund,No,GBP,07-Nov-2019,98.95 ,0.41 ,1.31 ,7.48 ,5.33 ,N/A,N/A,N/A,10/10/2017,LU1695534591,VO24SAQ LX EQUITY,"EUR Acc  (H), EUR Dis Qter (H), EUR Dis Ann (H), GBP Dis Qter , HKD Acc  (H), HKD Dis Qter (H), SGD Acc  (H), SGD Dis Qter (H), USD Acc  (H), USD Dis Qter (H), USD Dis Ann (H)",No,Yes,5,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fidelity Enhanced Reserve Fund A-ACC-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BF5GRB76,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Enhanced%20Reserve%20Fund,No,USD,08-Nov-2019,10.61 ,0.24 ,0.67 ,4.29 ,4.60 ,N/A,N/A,N/A,3/26/2018,IE00BF5GRB76,FIERAAU ID Equity,"USD Dis  (Mth) , USD Acc , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H), SGD Dis  (Mth) (H),  SGD Acc (H), AUD Dis  (Mth) (H)",No,No,2,80%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Fixed Income - Global High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templeton Global High Yield A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0300740767,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20High%20Yield%20Fund,No,USD,08-Nov-2019,15.60 ,0.19 ,(1.95),5.11 ,2.77 ,2.82 ,1.10 ,5.62 ,9/27/2007,LU0300740767,TGHYACU LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc , EUR Dis  (Mth) , USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,5,50%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
PIMCO GIS Global High Yield Bond E USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B1D7YM41,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Global%20High%20Yield%20Bond%20Fund,No,USD,08-Nov-2019,23.22 ,0.65 ,2.02 ,12.12 ,8.66 ,5.60 ,4.51 ,4.14 ,9/11/2006,IE00B1D7YM41,PIMGHYB ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , GBP Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,5,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - US Investment Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF US Dollar Short Duration Bond A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0154237225,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20US%20Dollar%20Short%20Duration%20Bond%20Fund,No,USD,08-Nov-2019,13.75 ,(0.07),0.29 ,3.85 ,4.32 ,1.91 ,1.44 ,0.87 ,10/31/2002,LU0154237225,MLLDBDA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Dis  (Mth) , EUR Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,4,70%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Fixed Income - US High Yield Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXA WF US Short Duration High Yield A USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1319654866,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/AXA/AXA%20WF%20US%20Short%20Duration%20High%20Yield,No,USD,08-Nov-2019,112.85 ,0.15 ,0.98 ,6.47 ,5.34 ,3.67 ,N/A,1.89 ,6/10/2016,LU1319654866,AXUSACU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Franklin High Yield A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0131126228,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Franklin%20High%20Yield%20Fund,Yes,USD,08-Nov-2019,19.22 ,0.47 ,1.64 ,11.35 ,7.19 ,5.07 ,2.34 ,4.55 ,7/2/2001,LU0131126228,TEMFHAC LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) ",No,Yes,5,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Neuberger Berman Hi Yld Bd USD A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B12VW672,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/High%20Yield%20Bond%20Fund,Yes,USD,08-Nov-2019,16.82 ,0.48 ,2.00 ,10.95 ,7.27 ,4.57 ,3.37 ,4.15 ,1/11/2010,IE00B12VW672,NBIHYUA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , USD Dis  (Mth) , USD Dis Wk , GBP Acc  (H) , GBP Dis  (Mth) (H) , GBP Dis  (Qter) (H) , EUR Acc  (H) , EUR Dis  (Mth) (H) , EUR Dis  (Qter) (H) , CHF Acc  (H) , SEK Acc  (H) , AUD Acc  (H) , AUD Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , HKD Acc  (H) , HKD Dis Wk (H) , CAD Dis  (Mth) (H) , CNH Dis  (Mth) (H) , CNH Dis  (Mth) (H) , CNH Dis Wk (H)",No,Yes,5,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Bank Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barings European Loan Fund EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B8W6PX94,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Barings%20European%20Loan%20Fund,No,EUR,09-Nov-2019,121.71 ,(0.18),(0.20),2.66 ,0.32 ,2.49 ,3.28 ,1.89 ,5/23/2014,IE00B8W6PX94,BCELEEA ID EQUITY,"AUD Acc  (H), AUD Dis Qter (H), CAD Acc  (H), CAD Dis Qter (H), CHF Acc  (H), CHF Dis Qter (H), EUR Acc  , EUR Dis Qter , GBP Acc  (H), GBP Dis Qter (H), JPY Acc  (H), JPY Dis Qter (H), SGD Acc  (H), SGD Dis Qter (H), USD  Acc  (H), USD  Dis Qter (H)",No,Yes,5,55%,Yes,Restricted,SFC Unauthorized,Yes,No,No,Nil,Income Generation,N/A,> 5 years,Daily ,Daily with 30 Calendar days notice,No,Yes,"Refer to intranet for indemnity form.
BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee","(HY Bond Fund, restrictions apply)#",,,,
Invesco US Senior Loan H Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0258954014,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20US%20Senior%20Loan,No,USD,07-Nov-2019,172.16 ,0.23 ,(0.12),5.49 ,1.71 ,3.54 ,3.19 ,2.72 ,7/28/2006,LU0258954014,ZODMUBA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , CHF Acc  (H) , EUR Acc  (H) , EUR Dis  (Mth) (H) , GBP Acc  (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,Refer to intranet for indemnity form.,"(HY Bond Fund, restrictions apply)#",,,,
Neuberger Berman Glo Snr Fltng Rt Inc USD U Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B96Y7K71,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/Global%20Senior%20Floating%20Rate%20Income,No,USD,08-Nov-2019,11.75 ,0.34 ,0.26 ,5.48 ,2.00 ,3.17 ,2.63 ,2.54 ,3/28/2013,IE00B96Y7K71,NBGUSUA ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR - A Acc  (H) , EUR - A Dis  (Qter) (H) , EUR - A Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , CNH - A Dis  (Qter) (H) , CNH - A Dis  (Mth) (H) , AUD Acc  (H) , AUD - A Dis  (Qter) (H) , AUD Dis  (Mth) (H) , GBP - A Acc  (H) , GBP - A Dis  (Qter) (H) , CAD Dis  (Qter) (H)",No,Yes,5,55%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,Refer to intranet for indemnity form.,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - European Investment Grade Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley Euro Strategic Bond A EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0073234253,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Euro%20Strategic%20Bond%20Fund,No,EUR,08-Nov-2019,49.78 ,(1.01),(0.74),8.41 ,8.98 ,3.53 ,2.99 ,3.22 ,2/1/1997,LU0073234253,MOREUBI LX EQUITY,"EUR Acc , EUR Dis  (Qter) ",Yes,No,4,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,4.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Robeco Euro Government Bonds DH EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0213453268,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/Euro%20Government%20Bonds%20Fund,No,EUR,07-Nov-2019,168.81 ,(1.32),(0.52),7.48 ,9.09 ,2.49 ,2.51 ,3.75 ,4/1/2005,LU0213453268,ROEGVBD LX EQUITY,"EUR Acc  (H) , EUR Dis (Ann)(H)",No,No,2,80%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Fixed Income - European High Yield Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXA IM FIIS Europe Short Duration High Yield EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0658026603,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/AXA/AXA%20IM%20FIIS%20Europe%20Short%20Duration%20High%20Yield,No,EUR,08-Nov-2019,132.62 ,0.29 ,0.55 ,4.42 ,1.67 ,0.95 ,1.92 ,2.00 ,8/5/2011,LU0658026603,AXEHFEI LX EQUITY,"EUR Acc, EUR Dis (SemiAnn), USD Acc (H), CHF Acc (H), CHF (Dis) (H)",No,Yes,5,65%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fidelity Funds - European Hi Yld A-EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0251130802,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20European%20High%20Yield%20Fund,No,EUR,08-Nov-2019,21.29 ,0.76 ,1.62 ,10.89 ,7.31 ,4.09 ,3.70 ,3.74 ,7/3/2006,LU0251130802,FIDEHYA LX EQUITY,"EUR Dis (Ann) , EUR Dis  (Mth) , EUR Dis  (Mth) , EUR Dis  (Mth) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,Yes,5,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - Global EMD Local Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templeton Global Bond A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0252652382,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20Bond%20Fund,Yes,USD,08-Nov-2019,29.69 ,0.10 ,(2.97),(0.10),(1.26),3.69 ,0.01 ,6.36 ,4/28/2006,LU0252652382,FTGBFAC LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) , SGD Dis  (Mth) , EUR Dis  (Mth) , EUR Dis  (Mth) (H) , EUR Dis (Ann) , EUR Dis (Ann)(H) , EUR Acc , EUR Acc  (H) , GBP Dis  (Mth) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , HKD Acc  (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H) , CHF Acc  (H) , CNH Dis  (Mth) (H)",Yes,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
